installment_id,loan_id,customer_id,installment_no,due_date,amount_due,payment_status,payment_date,remaining_balance
INS-00043,LOAN-0008,CUST-0008,43,11-04-2026,"3479,02",Paid,13-04-2026,"20874,12"
INS-00044,LOAN-0008,CUST-0008,44,11-05-2026,"3479,02",Paid,15-05-2026,"17395,1"
INS-00045,LOAN-0008,CUST-0008,45,11-06-2026,"3479,02",Paid,11-06-2026,"13916,08"
INS-00046,LOAN-0008,CUST-0008,46,11-07-2026,"3479,02",Paid,14-07-2026,"10437,06"
INS-00047,LOAN-0008,CUST-0008,47,11-08-2026,"3479,02",Unpaid,,"6958,04"
INS-00048,LOAN-0008,CUST-0008,48,11-09-2026,"3479,02",Unpaid,,"3479,02"
INS-00049,LOAN-0008,CUST-0008,49,11-10-2026,"3479,02",Unpaid,,0
INS-00050,LOAN-0009,CUST-0009,1,16-05-2022,"558,57",Paid,18-05-2022,"21784,23"
INS-00051,LOAN-0009,CUST-0009,2,16-06-2022,"558,57",Paid,18-06-2022,"21225,66"
INS-00052,LOAN-0009,CUST-0009,3,16-07-2022,"558,57",Paid,20-07-2022,"20667,09"
INS-00053,LOAN-0009,CUST-0009,4,16-08-2022,"558,57",Paid,18-08-2022,"20108,52"
INS-00054,LOAN-0009,CUST-0009,5,16-09-2022,"558,57",Paid,18-09-2022,"19549,95"
INS-00055,LOAN-0009,CUST-0009,6,16-10-2022,"558,57",Paid,20-10-2022,"18991,38"
INS-00056,LOAN-0009,CUST-0009,7,16-11-2022,"558,57",Paid,18-11-2022,"18432,81"
INS-00057,LOAN-0009,CUST-0009,8,16-12-2022,"558,57",Paid,20-12-2022,"17874,24"
INS-00058,LOAN-0009,CUST-0009,9,16-01-2023,"558,57",Paid,16-01-2023,"17315,67"
INS-00059,LOAN-0009,CUST-0009,10,16-02-2023,"558,57",Paid,19-02-2023,"16757,1"
INS-00060,LOAN-0009,CUST-0009,11,16-03-2023,"558,57",Paid,20-03-2023,"16198,53"
INS-00061,LOAN-0009,CUST-0009,12,16-04-2023,"558,57",Paid,19-04-2023,"15639,96"
INS-00062,LOAN-0009,CUST-0009,13,16-05-2023,"558,57",Paid,18-05-2023,"15081,39"
INS-00063,LOAN-0009,CUST-0009,14,16-06-2023,"558,57",Paid,16-06-2023,"14522,82"
INS-00064,LOAN-0009,CUST-0009,15,16-07-2023,"558,57",Paid,18-07-2023,"13964,25"
INS-00065,LOAN-0009,CUST-0009,16,16-08-2023,"558,57",Paid,20-08-2023,"13405,68"
INS-00066,LOAN-0009,CUST-0009,17,16-09-2023,"558,57",Paid,17-09-2023,"12847,11"
INS-00067,LOAN-0009,CUST-0009,18,16-10-2023,"558,57",Paid,16-10-2023,"12288,54"
INS-00068,LOAN-0009,CUST-0009,19,16-11-2023,"558,57",Late,26-11-2023,"11729,97"
INS-00069,LOAN-0009,CUST-0009,20,16-12-2023,"558,57",Paid,16-12-2023,"11171,4"
INS-00070,LOAN-0009,CUST-0009,21,16-01-2024,"558,57",Late,27-01-2024,"10612,83"
INS-00071,LOAN-0009,CUST-0009,22,16-02-2024,"558,57",Paid,17-02-2024,"10054,26"
INS-00072,LOAN-0009,CUST-0009,23,16-03-2024,"558,57",Paid,17-03-2024,"9495,69"
INS-00073,LOAN-0009,CUST-0009,24,16-04-2024,"558,57",Paid,19-04-2024,"8937,12"
INS-00074,LOAN-0009,CUST-0009,25,16-05-2024,"558,57",Paid,20-05-2024,"8378,55"
INS-00075,LOAN-0009,CUST-0009,26,16-06-2024,"558,57",Paid,18-06-2024,"7819,98"
INS-00076,LOAN-0009,CUST-0009,27,16-07-2024,"558,57",Paid,16-07-2024,"7261,41"
INS-00077,LOAN-0009,CUST-0009,28,16-08-2024,"558,57",Paid,17-08-2024,"6702,84"
INS-00078,LOAN-0009,CUST-0009,29,16-09-2024,"558,57",Late,03-10-2024,"6144,27"
INS-00079,LOAN-0009,CUST-0009,30,16-10-2024,"558,57",Paid,16-10-2024,"5585,7"
INS-00080,LOAN-0009,CUST-0009,31,16-11-2024,"558,57",Paid,18-11-2024,"5027,13"
INS-00081,LOAN-0009,CUST-0009,32,16-12-2024,"558,57",Late,23-12-2024,"4468,56"
INS-00082,LOAN-0009,CUST-0009,33,16-01-2025,"558,57",Paid,17-01-2025,"3909,99"
INS-00083,LOAN-0009,CUST-0009,34,16-02-2025,"558,57",Late,22-02-2025,"3351,42"
INS-00084,LOAN-0009,CUST-0009,35,16-03-2025,"558,57",Paid,19-03-2025,"2792,85"
INS-00085,LOAN-0009,CUST-0009,36,16-04-2025,"558,57",Paid,16-04-2025,"2234,28"
INS-00086,LOAN-0009,CUST-0009,37,16-05-2025,"558,57",Paid,16-05-2025,"1675,71"
INS-00087,LOAN-0009,CUST-0009,38,16-06-2025,"558,57",Late,30-06-2025,"1117,14"
INS-00088,LOAN-0009,CUST-0009,39,16-07-2025,"558,57",Late,24-07-2025,"558,57"
INS-00089,LOAN-0009,CUST-0009,40,16-08-2025,"558,57",Paid,18-08-2025,0
INS-00090,LOAN-0010,CUST-0010,1,10-01-2023,"8834,44",Late,24-01-2023,"379880,92"
INS-00091,LOAN-0010,CUST-0010,2,10-02-2023,"8834,44",Late,26-02-2023,"371046,48"
INS-00092,LOAN-0010,CUST-0010,3,10-03-2023,"8834,44",Paid,13-03-2023,"362212,04"
INS-00093,LOAN-0010,CUST-0010,4,10-04-2023,"8834,44",Paid,10-04-2023,"353377,6"
INS-00094,LOAN-0010,CUST-0010,5,10-05-2023,"8834,44",Paid,12-05-2023,"344543,16"
INS-00095,LOAN-0010,CUST-0010,6,10-06-2023,"8834,44",Paid,13-06-2023,"335708,72"
INS-00096,LOAN-0010,CUST-0010,7,10-07-2023,"8834,44",Paid,13-07-2023,"326874,28"
INS-00097,LOAN-0010,CUST-0010,8,10-08-2023,"8834,44",Paid,14-08-2023,"318039,84"
INS-00098,LOAN-0010,CUST-0010,9,10-09-2023,"8834,44",Paid,10-09-2023,"309205,4"
INS-00099,LOAN-0010,CUST-0010,10,10-10-2023,"8834,44",Paid,11-10-2023,"300370,96"
INS-00100,LOAN-0010,CUST-0010,11,10-11-2023,"8834,44",Paid,14-11-2023,"291536,52"
INS-00101,LOAN-0010,CUST-0010,12,10-12-2023,"8834,44",Paid,11-12-2023,"282702,08"
INS-00102,LOAN-0010,CUST-0010,13,10-01-2024,"8834,44",Paid,12-01-2024,"273867,64"
INS-00103,LOAN-0010,CUST-0010,14,10-02-2024,"8834,44",Late,18-02-2024,"265033,2"
INS-00104,LOAN-0010,CUST-0010,15,10-03-2024,"8834,44",Paid,10-03-2024,"256198,76"
INS-00105,LOAN-0010,CUST-0010,16,10-04-2024,"8834,44",Late,24-04-2024,"247364,32"
INS-00106,LOAN-0010,CUST-0010,17,10-05-2024,"8834,44",Paid,10-05-2024,"238529,88"
INS-00107,LOAN-0010,CUST-0010,18,10-06-2024,"8834,44",Paid,13-06-2024,"229695,44"
INS-00108,LOAN-0010,CUST-0010,19,10-07-2024,"8834,44",Paid,13-07-2024,220861
INS-00109,LOAN-0010,CUST-0010,20,10-08-2024,"8834,44",Late,15-08-2024,"212026,56"
INS-00110,LOAN-0010,CUST-0010,21,10-09-2024,"8834,44",Paid,11-09-2024,"203192,12"
INS-00111,LOAN-0010,CUST-0010,22,10-10-2024,"8834,44",Late,15-10-2024,"194357,68"
INS-00112,LOAN-0010,CUST-0010,23,10-11-2024,"8834,44",Paid,10-11-2024,"185523,24"
INS-00113,LOAN-0010,CUST-0010,24,10-12-2024,"8834,44",Paid,10-12-2024,"176688,8"
INS-00114,LOAN-0010,CUST-0010,25,10-01-2025,"8834,44",Paid,10-01-2025,"167854,36"
INS-00115,LOAN-0010,CUST-0010,26,10-02-2025,"8834,44",Paid,13-02-2025,"159019,92"
INS-00116,LOAN-0010,CUST-0010,27,10-03-2025,"8834,44",Paid,13-03-2025,"150185,48"
INS-00117,LOAN-0010,CUST-0010,28,10-04-2025,"8834,44",Paid,14-04-2025,"141351,04"
INS-00118,LOAN-0010,CUST-0010,29,10-05-2025,"8834,44",Paid,13-05-2025,"132516,6"
INS-00119,LOAN-0010,CUST-0010,30,10-06-2025,"8834,44",Late,20-06-2025,"123682,16"
INS-00120,LOAN-0010,CUST-0010,31,10-07-2025,"8834,44",Late,16-07-2025,"114847,72"
INS-00121,LOAN-0010,CUST-0010,32,10-08-2025,"8834,44",Paid,12-08-2025,"106013,28"
INS-00122,LOAN-0010,CUST-0010,33,10-09-2025,"8834,44",Paid,13-09-2025,"97178,84"
INS-00123,LOAN-0010,CUST-0010,34,10-10-2025,"8834,44",Paid,11-10-2025,"88344,4"
INS-00124,LOAN-0010,CUST-0010,35,10-11-2025,"8834,44",Paid,12-11-2025,"79509,96"
INS-00125,LOAN-0010,CUST-0010,36,10-12-2025,"8834,44",Paid,14-12-2025,"70675,52"
INS-00126,LOAN-0010,CUST-0010,37,10-01-2026,"8834,44",Late,29-01-2026,"61841,08"
INS-00127,LOAN-0010,CUST-0010,38,10-02-2026,"8834,44",Paid,14-02-2026,"53006,64"
INS-00128,LOAN-0010,CUST-0010,39,10-03-2026,"8834,44",Paid,14-03-2026,"44172,2"
INS-00129,LOAN-0010,CUST-0010,40,10-04-2026,"8834,44",Paid,14-04-2026,"35337,76"
INS-00130,LOAN-0010,CUST-0010,41,10-05-2026,"8834,44",Paid,13-05-2026,"26503,32"
INS-00131,LOAN-0010,CUST-0010,42,10-06-2026,"8834,44",Paid,12-06-2026,"17668,88"
INS-00132,LOAN-0010,CUST-0010,43,10-07-2026,"8834,44",Late,16-07-2026,"8834,44"
INS-00133,LOAN-0010,CUST-0010,44,10-08-2026,"8834,44",Unpaid,,0
INS-00134,LOAN-0013,CUST-0013,1,26-11-2022,"23370,39",Paid,30-11-2022,"93481,56"
INS-00135,LOAN-0013,CUST-0013,2,26-12-2022,"23370,39",Late,08-01-2023,"70111,17"
INS-00136,LOAN-0013,CUST-0013,3,26-01-2023,"23370,39",Paid,27-01-2023,"46740,78"
INS-00137,LOAN-0013,CUST-0013,4,26-02-2023,"23370,39",Paid,01-03-2023,"23370,39"
INS-00138,LOAN-0013,CUST-0013,5,26-03-2023,"23370,39",Paid,27-03-2023,0
INS-00139,LOAN-0020,CUST-0020,1,06-10-2022,"4465,17",Paid,10-10-2022,"93768,57"
INS-00140,LOAN-0020,CUST-0020,2,06-11-2022,"4465,17",Paid,06-11-2022,"89303,4"
INS-00141,LOAN-0020,CUST-0020,3,06-12-2022,"4465,17",Paid,07-12-2022,"84838,23"
INS-00142,LOAN-0020,CUST-0020,4,06-01-2023,"4465,17",Paid,07-01-2023,"80373,06"
INS-00143,LOAN-0020,CUST-0020,5,06-02-2023,"4465,17",Paid,10-02-2023,"75907,89"
INS-00144,LOAN-0020,CUST-0020,6,06-03-2023,"4465,17",Paid,09-03-2023,"71442,72"
INS-00145,LOAN-0020,CUST-0020,7,06-04-2023,"4465,17",Paid,10-04-2023,"66977,55"
INS-00146,LOAN-0020,CUST-0020,8,06-05-2023,"4465,17",Paid,08-05-2023,"62512,38"
INS-00147,LOAN-0020,CUST-0020,9,06-06-2023,"4465,17",Late,23-06-2023,"58047,21"
INS-00148,LOAN-0020,CUST-0020,10,06-07-2023,"4465,17",Paid,08-07-2023,"53582,04"
INS-00149,LOAN-0020,CUST-0020,11,06-08-2023,"4465,17",Paid,10-08-2023,"49116,87"
INS-00150,LOAN-0020,CUST-0020,12,06-09-2023,"4465,17",Paid,08-09-2023,"44651,7"
INS-00151,LOAN-0020,CUST-0020,13,06-10-2023,"4465,17",Paid,06-10-2023,"40186,53"
INS-00152,LOAN-0020,CUST-0020,14,06-11-2023,"4465,17",Paid,07-11-2023,"35721,36"
INS-00153,LOAN-0020,CUST-0020,15,06-12-2023,"4465,17",Paid,10-12-2023,"31256,19"
INS-00154,LOAN-0020,CUST-0020,16,06-01-2024,"4465,17",Paid,09-01-2024,"26791,02"
INS-00155,LOAN-0020,CUST-0020,17,06-02-2024,"4465,17",Paid,10-02-2024,"22325,85"
INS-00156,LOAN-0020,CUST-0020,18,06-03-2024,"4465,17",Late,25-03-2024,"17860,68"
INS-00157,LOAN-0020,CUST-0020,19,06-04-2024,"4465,17",Late,15-04-2024,"13395,51"
INS-00158,LOAN-0020,CUST-0020,20,06-05-2024,"4465,17",Paid,07-05-2024,"8930,34"
INS-00159,LOAN-0020,CUST-0020,21,06-06-2024,"4465,17",Paid,09-06-2024,"4465,17"
INS-00160,LOAN-0020,CUST-0020,22,06-07-2024,"4465,17",Paid,10-07-2024,0
INS-00161,LOAN-0023,CUST-0023,1,08-06-2022,"9585,33",Paid,09-06-2022,"134194,62"
INS-00162,LOAN-0023,CUST-0023,2,08-07-2022,"9585,33",Paid,11-07-2022,"124609,29"
INS-00163,LOAN-0023,CUST-0023,3,08-08-2022,"9585,33",Paid,09-08-2022,"115023,96"
INS-00164,LOAN-0023,CUST-0023,4,08-09-2022,"9585,33",Paid,12-09-2022,"105438,63"
INS-00165,LOAN-0023,CUST-0023,5,08-10-2022,"9585,33",Paid,12-10-2022,"95853,3"
INS-00166,LOAN-0023,CUST-0023,6,08-11-2022,"9585,33",Paid,12-11-2022,"86267,97"
INS-00167,LOAN-0023,CUST-0023,7,08-12-2022,"9585,33",Paid,12-12-2022,"76682,64"
INS-00168,LOAN-0023,CUST-0023,8,08-01-2023,"9585,33",Paid,12-01-2023,"67097,31"
INS-00169,LOAN-0023,CUST-0023,9,08-02-2023,"9585,33",Paid,11-02-2023,"57511,98"
INS-00170,LOAN-0023,CUST-0023,10,08-03-2023,"9585,33",Paid,08-03-2023,"47926,65"
INS-00171,LOAN-0023,CUST-0023,11,08-04-2023,"9585,33",Paid,11-04-2023,"38341,32"
INS-00172,LOAN-0023,CUST-0023,12,08-05-2023,"9585,33",Paid,10-05-2023,"28755,99"
INS-00173,LOAN-0023,CUST-0023,13,08-06-2023,"9585,33",Paid,09-06-2023,"19170,66"
INS-00174,LOAN-0023,CUST-0023,14,08-07-2023,"9585,33",Late,14-07-2023,"9585,33"
INS-00175,LOAN-0023,CUST-0023,15,08-08-2023,"9585,33",Paid,09-08-2023,0
INS-00176,LOAN-0025,CUST-0025,1,28-07-2022,"18142,8",Paid,28-07-2022,"72571,2"
INS-00177,LOAN-0025,CUST-0025,2,28-08-2022,"18142,8",Paid,28-08-2022,"54428,4"
INS-00178,LOAN-0025,CUST-0025,3,28-09-2022,"18142,8",Paid,02-10-2022,"36285,6"
INS-00179,LOAN-0025,CUST-0025,4,28-10-2022,"18142,8",Paid,28-10-2022,"18142,8"
INS-00180,LOAN-0025,CUST-0025,5,28-11-2022,"18142,8",Paid,28-11-2022,0
INS-00181,LOAN-0026,CUST-0026,1,21-04-2022,"12058,99",Paid,23-04-2022,"313533,74"
INS-00182,LOAN-0026,CUST-0026,2,21-05-2022,"12058,99",Late,26-05-2022,"301474,75"
INS-00183,LOAN-0026,CUST-0026,3,21-06-2022,"12058,99",Paid,23-06-2022,"289415,76"
INS-00184,LOAN-0026,CUST-0026,4,21-07-2022,"12058,99",Paid,22-07-2022,"277356,77"
INS-00185,LOAN-0026,CUST-0026,5,21-08-2022,"12058,99",Paid,25-08-2022,"265297,78"
INS-00186,LOAN-0026,CUST-0026,6,21-09-2022,"12058,99",Paid,24-09-2022,"253238,79"
INS-00187,LOAN-0026,CUST-0026,7,21-10-2022,"12058,99",Paid,24-10-2022,"241179,8"
INS-00188,LOAN-0026,CUST-0026,8,21-11-2022,"12058,99",Paid,21-11-2022,"229120,81"
INS-00189,LOAN-0026,CUST-0026,9,21-12-2022,"12058,99",Paid,24-12-2022,"217061,82"
INS-00190,LOAN-0026,CUST-0026,10,21-01-2023,"12058,99",Paid,21-01-2023,"205002,83"
INS-00191,LOAN-0026,CUST-0026,11,21-02-2023,"12058,99",Paid,25-02-2023,"192943,84"
INS-00192,LOAN-0026,CUST-0026,12,21-03-2023,"12058,99",Paid,22-03-2023,"180884,85"
INS-00193,LOAN-0026,CUST-0026,13,21-04-2023,"12058,99",Paid,23-04-2023,"168825,86"
INS-00194,LOAN-0026,CUST-0026,14,21-05-2023,"12058,99",Late,28-05-2023,"156766,87"
INS-00195,LOAN-0026,CUST-0026,15,21-06-2023,"12058,99",Late,01-07-2023,"144707,88"
INS-00196,LOAN-0026,CUST-0026,16,21-07-2023,"12058,99",Paid,25-07-2023,"132648,89"
INS-00197,LOAN-0026,CUST-0026,17,21-08-2023,"12058,99",Paid,23-08-2023,"120589,9"
INS-00198,LOAN-0026,CUST-0026,18,21-09-2023,"12058,99",Paid,21-09-2023,"108530,91"
INS-00199,LOAN-0026,CUST-0026,19,21-10-2023,"12058,99",Paid,23-10-2023,"96471,92"
INS-00200,LOAN-0026,CUST-0026,20,21-11-2023,"12058,99",Paid,22-11-2023,"84412,93"
INS-00201,LOAN-0026,CUST-0026,21,21-12-2023,"12058,99",Paid,23-12-2023,"72353,94"
INS-00202,LOAN-0026,CUST-0026,22,21-01-2024,"12058,99",Paid,25-01-2024,"60294,95"
INS-00203,LOAN-0026,CUST-0026,23,21-02-2024,"12058,99",Paid,25-02-2024,"48235,96"
INS-00204,LOAN-0026,CUST-0026,24,21-03-2024,"12058,99",Paid,21-03-2024,"36176,97"
INS-00205,LOAN-0026,CUST-0026,25,21-04-2024,"12058,99",Paid,21-04-2024,"24117,98"
INS-00206,LOAN-0026,CUST-0026,26,21-05-2024,"12058,99",Paid,23-05-2024,"12058,99"
INS-00207,LOAN-0026,CUST-0026,27,21-06-2024,"12058,99",Paid,24-06-2024,0
INS-00208,LOAN-0029,CUST-0029,1,30-07-2022,"4293,18",Late,09-08-2022,"253297,62"
INS-00209,LOAN-0029,CUST-0029,2,30-08-2022,"4293,18",Paid,03-09-2022,"249004,44"
INS-00210,LOAN-0029,CUST-0029,3,30-09-2022,"4293,18",Paid,01-10-2022,"244711,26"
INS-00211,LOAN-0029,CUST-0029,4,30-10-2022,"4293,18",Late,07-11-2022,"240418,08"
INS-00212,LOAN-0029,CUST-0029,5,30-11-2022,"4293,18",Paid,01-12-2022,"236124,9"
INS-00213,LOAN-0029,CUST-0029,6,30-12-2022,"4293,18",Paid,03-01-2023,"231831,72"
INS-00214,LOAN-0029,CUST-0029,7,30-01-2023,"4293,18",Paid,01-02-2023,"227538,54"
INS-00215,LOAN-0029,CUST-0029,8,02-03-2023,"4293,18",Paid,04-03-2023,"223245,36"
INS-00216,LOAN-0029,CUST-0029,9,30-03-2023,"4293,18",Paid,03-04-2023,"218952,18"
INS-00217,LOAN-0029,CUST-0029,10,30-04-2023,"4293,18",Paid,30-04-2023,214659
INS-00218,LOAN-0029,CUST-0029,11,30-05-2023,"4293,18",Paid,31-05-2023,"210365,82"
INS-00219,LOAN-0029,CUST-0029,12,30-06-2023,"4293,18",Paid,30-06-2023,"206072,64"
INS-00220,LOAN-0029,CUST-0029,13,30-07-2023,"4293,18",Late,17-08-2023,"201779,46"
INS-00221,LOAN-0029,CUST-0029,14,30-08-2023,"4293,18",Paid,02-09-2023,"197486,28"
INS-00222,LOAN-0029,CUST-0029,15,30-09-2023,"4293,18",Paid,03-10-2023,"193193,1"
INS-00223,LOAN-0029,CUST-0029,16,30-10-2023,"4293,18",Paid,03-11-2023,"188899,92"
INS-00224,LOAN-0029,CUST-0029,17,30-11-2023,"4293,18",Paid,01-12-2023,"184606,74"
INS-00225,LOAN-0029,CUST-0029,18,30-12-2023,"4293,18",Paid,03-01-2024,"180313,56"
INS-00226,LOAN-0029,CUST-0029,19,30-01-2024,"4293,18",Paid,31-01-2024,"176020,38"
INS-00227,LOAN-0029,CUST-0029,20,01-03-2024,"4293,18",Paid,03-03-2024,"171727,2"
INS-00228,LOAN-0029,CUST-0029,21,30-03-2024,"4293,18",Paid,02-04-2024,"167434,02"
INS-00229,LOAN-0029,CUST-0029,22,30-04-2024,"4293,18",Paid,02-05-2024,"163140,84"
INS-00230,LOAN-0029,CUST-0029,23,30-05-2024,"4293,18",Paid,02-06-2024,"158847,66"
INS-00231,LOAN-0029,CUST-0029,24,30-06-2024,"4293,18",Late,09-07-2024,"154554,48"
INS-00232,LOAN-0029,CUST-0029,25,30-07-2024,"4293,18",Paid,02-08-2024,"150261,3"
INS-00233,LOAN-0029,CUST-0029,26,30-08-2024,"4293,18",Paid,30-08-2024,"145968,12"
INS-00234,LOAN-0029,CUST-0029,27,30-09-2024,"4293,18",Paid,04-10-2024,"141674,94"
INS-00235,LOAN-0029,CUST-0029,28,30-10-2024,"4293,18",Paid,02-11-2024,"137381,76"
INS-00236,LOAN-0029,CUST-0029,29,30-11-2024,"4293,18",Paid,02-12-2024,"133088,58"
INS-00237,LOAN-0029,CUST-0029,30,30-12-2024,"4293,18",Paid,30-12-2024,"128795,4"
INS-00238,LOAN-0029,CUST-0029,31,30-01-2025,"4293,18",Paid,02-02-2025,"124502,22"
INS-00239,LOAN-0029,CUST-0029,32,02-03-2025,"4293,18",Paid,04-03-2025,"120209,04"
INS-00240,LOAN-0029,CUST-0029,33,30-03-2025,"4293,18",Late,15-04-2025,"115915,86"
INS-00241,LOAN-0029,CUST-0029,34,30-04-2025,"4293,18",Paid,03-05-2025,"111622,68"
INS-00242,LOAN-0029,CUST-0029,35,30-05-2025,"4293,18",Paid,01-06-2025,"107329,5"
INS-00243,LOAN-0029,CUST-0029,36,30-06-2025,"4293,18",Late,17-07-2025,"103036,32"
INS-00244,LOAN-0029,CUST-0029,37,30-07-2025,"4293,18",Paid,01-08-2025,"98743,14"
INS-00245,LOAN-0029,CUST-0029,38,30-08-2025,"4293,18",Paid,30-08-2025,"94449,96"
INS-00246,LOAN-0029,CUST-0029,39,30-09-2025,"4293,18",Paid,03-10-2025,"90156,78"
INS-00247,LOAN-0029,CUST-0029,40,30-10-2025,"4293,18",Paid,30-10-2025,"85863,6"
INS-00248,LOAN-0029,CUST-0029,41,30-11-2025,"4293,18",Paid,03-12-2025,"81570,42"
INS-00249,LOAN-0029,CUST-0029,42,30-12-2025,"4293,18",Paid,02-01-2026,"77277,24"
INS-00250,LOAN-0029,CUST-0029,43,30-01-2026,"4293,18",Paid,31-01-2026,"72984,06"
INS-00251,LOAN-0029,CUST-0029,44,02-03-2026,"4293,18",Paid,06-03-2026,"68690,88"
INS-00252,LOAN-0029,CUST-0029,45,30-03-2026,"4293,18",Paid,30-03-2026,"64397,7"
INS-00253,LOAN-0029,CUST-0029,46,30-04-2026,"4293,18",Paid,01-05-2026,"60104,52"
INS-00254,LOAN-0029,CUST-0029,47,30-05-2026,"4293,18",Paid,30-05-2026,"55811,34"
INS-00255,LOAN-0029,CUST-0029,48,30-06-2026,"4293,18",Paid,02-07-2026,"51518,16"
INS-00256,LOAN-0029,CUST-0029,49,30-07-2026,"4293,18",Unpaid,,"47224,98"
INS-00257,LOAN-0029,CUST-0029,50,30-08-2026,"4293,18",Unpaid,,"42931,8"
INS-00258,LOAN-0029,CUST-0029,51,30-09-2026,"4293,18",Unpaid,,"38638,62"
INS-00259,LOAN-0029,CUST-0029,52,30-10-2026,"4293,18",Unpaid,,"34345,44"
INS-00260,LOAN-0029,CUST-0029,53,30-11-2026,"4293,18",Unpaid,,"30052,26"
